	Transaction No.	Security ID - Current	Security Name - Current	Model Portfolio Code	Created Date	Trade Date	Payment Date	Created by User	Business Transaction Code	Elementary Transaction Code	Elementary Transaction Code Name	Settlement Currency Code - Transaction	Net Proceeds PC	Net Proceeds QC	Net Proceeds SC	Settlement Date	Finance Account Name	Nominal	Current Value PC	Current Value QC	SCD_Trx_No	SCDID_CUSIP	Ticket Status ID	Ticket Status	Ticket Type	Ticket Type Name	Trade Date_r	Due_Settlement_Date	Model Portfolio	Investment	Investment Amount	Investment Currency	Send to SCD	Funding Amount	Funding Currency	Creator	CreateDate	SourceSystem	LastUpdatedDateTime	Ticketing_Ticket	diff
75326	20171101060668.0	FS1000607	New Mountain Partners III, LP (Mosers)	MFS1000607	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	291.82	226.37	291.82	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75326	FS1000607	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MFS1000607	New Mountain Partners III, LP (Mosers)	226.37000	USD	Yes	291.82000	CAD	Gavadza, Olena	2017-11-01 11:32:45.193	Investran	2017-11-01 15:30:16.073	75326	0.0
75327	20171101060669.0	FS1000327	Apollo Investment Fund VIII, L.P.	MFS1000327	20171107.0	20171109.0	20171109.0	Batch job user	GenCost	General Cost	General Cost	USD	7502862.28	5820232.94	5820232.94	20171109.0		0.0	0.0	0.0	75327	FS1000327	4	Closed	1	Capital Call	2017-11-09 00:00:00.000	2017-11-09 00:00:00.000	MFS1000327	Apollo Investment Fund VIII, L.P.	5820232.94000	USD	Yes	5820232.94000	USD	 	2017-11-01 11:34:49.983	Investran	2017-11-07 17:57:26.040	75327	0.0
75328	20171101060670.0	IN1000067	North West Roads Group-Intoll Trust 1 Ops	MIN1000067	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	14.9	15.08	15.08	20171031.0	INTEREST RECEIVABLE INFRASTRUCTURE	0.0	0.0	0.0	75328	IN1000067	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000067	North West Roads Group-Intoll Trust 1 Ops	15.08000	AUD	Yes	15.08000	AUD	Shang, Jenny	2017-11-01 11:36:25.033	Investran	2017-11-01 15:47:40.257	75328	0.0
75328	20171101060670.0	IN1000067	North West Roads Group-Intoll Trust 1 Ops	MIN1000067	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	14.9	15.08	15.08	20171031.0	OTH INV EXP FGN INFRASTRUCTURE	0.0	0.0	0.0	75328	IN1000067	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000067	North West Roads Group-Intoll Trust 1 Ops	15.08000	AUD	Yes	15.08000	AUD	Shang, Jenny	2017-11-01 11:36:25.033	Investran	2017-11-01 15:47:40.257	75328	0.0
75328	20171101060670.0	IN1000067	North West Roads Group-Intoll Trust 1 Ops	MIN1000067	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	14.9	15.08	15.08	20171031.0	DUE TO BROKER FGN INFRASTRUCTURE	0.0	0.0	0.0	75328	IN1000067	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000067	North West Roads Group-Intoll Trust 1 Ops	15.08000	AUD	Yes	15.08000	AUD	Shang, Jenny	2017-11-01 11:36:25.033	Investran	2017-11-01 15:47:40.257	75328	0.0
75328	20171101060670.0	IN1000067	North West Roads Group-Intoll Trust 1 Ops	MIN1000067	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	14.9	15.08	15.08	20171031.0	INTEREST INC FGN INFRASTRUCTURE	0.0	0.0	0.0	75328	IN1000067	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000067	North West Roads Group-Intoll Trust 1 Ops	15.08000	AUD	Yes	15.08000	AUD	Shang, Jenny	2017-11-01 11:36:25.033	Investran	2017-11-01 15:47:40.257	75328	0.0
75329	20171101060673.0	IN1000066	Westlink M7-Intoll Trust (I)	MIN1000066	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-20776.97	-21020.44	-21020.44	20171031.0	INTEREST RECEIVABLE INFRASTRUCTURE	0.0	0.0	0.0	75329	IN1000066	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000066	Westlink M7-Intoll Trust (I)	21020.44000	AUD	Yes	21020.44000	AUD	Shang, Jenny	2017-11-01 11:49:01.703	Investran	2017-11-01 19:48:33.580	75329	-42040.88
75329	20171101060673.0	IN1000066	Westlink M7-Intoll Trust (I)	MIN1000066	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	AUD	-20776.97	-21020.44	-21020.44	20171031.0	INTEREST INC FGN INFRASTRUCTURE	0.0	0.0	0.0	75329	IN1000066	6	Manual	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000066	Westlink M7-Intoll Trust (I)	21020.44000	AUD	Yes	21020.44000	AUD	Shang, Jenny	2017-11-01 11:49:01.703	Investran	2017-11-01 19:48:33.580	75329	-42040.88
75330	20171101060674.0	IN1000036	Grupo Costanera (PDHI Transition)	MIN1000036	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1179.45	581769.0	1179.45	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75330	IN1000036	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000036	Grupo Costanera (PDHI Transition)	581769.30000	CLP	Yes	1179.45000	CAD	Gavadza, Olena	2017-11-01 11:50:26.880	Investran	2017-11-01 15:36:50.037	75330	-0.30000000004656613
75330	20171101060674.0	IN1000036	Grupo Costanera (PDHI Transition)	MIN1000036	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1179.45	581769.0	1179.45	20171031.0	DUE TO SUB-INV EXP-CHQ INFRASTRUCTURE	0.0	0.0	0.0	75330	IN1000036	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000036	Grupo Costanera (PDHI Transition)	581769.30000	CLP	Yes	1179.45000	CAD	Gavadza, Olena	2017-11-01 11:50:26.880	Investran	2017-11-01 15:36:50.037	75330	-0.30000000004656613
75330	20171101060674.0	IN1000036	Grupo Costanera (PDHI Transition)	MIN1000036	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1179.45	581769.0	1179.45	20171031.0	OTH INV EXP EM INFRASTRUCTURE	0.0	0.0	0.0	75330	IN1000036	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000036	Grupo Costanera (PDHI Transition)	581769.30000	CLP	Yes	1179.45000	CAD	Gavadza, Olena	2017-11-01 11:50:26.880	Investran	2017-11-01 15:36:50.037	75330	-0.30000000004656613
75330	20171101060674.0	IN1000036	Grupo Costanera (PDHI Transition)	MIN1000036	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1179.45	581769.0	1179.45	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75330	IN1000036	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000036	Grupo Costanera (PDHI Transition)	581769.30000	CLP	Yes	1179.45000	CAD	Gavadza, Olena	2017-11-01 11:50:26.880	Investran	2017-11-01 15:36:50.037	75330	-0.30000000004656613
75331	20171101060675.0	IN1000037	Transelec SA (PDHI - B2B Loan)	MIN1000037	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1123.43	871.49	1123.43	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75331	IN1000037	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000037	Transelec SA (PDHI - B2B Loan)	871.49000	USD	Yes	1123.43000	CAD	Gavadza, Olena	2017-11-01 11:50:27.407	Investran	2017-11-01 15:37:28.400	75331	0.0
75331	20171101060675.0	IN1000037	Transelec SA (PDHI - B2B Loan)	MIN1000037	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1123.43	871.49	1123.43	20171031.0	DUE TO SUB-INV EXP-CHQ INFRASTRUCTURE	0.0	0.0	0.0	75331	IN1000037	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000037	Transelec SA (PDHI - B2B Loan)	871.49000	USD	Yes	1123.43000	CAD	Gavadza, Olena	2017-11-01 11:50:27.407	Investran	2017-11-01 15:37:28.400	75331	0.0
75331	20171101060675.0	IN1000037	Transelec SA (PDHI - B2B Loan)	MIN1000037	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1123.43	871.49	1123.43	20171031.0	CGAP:FX CONTROL ACCOUNT - SETL	0.0	0.0	0.0	75331	IN1000037	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000037	Transelec SA (PDHI - B2B Loan)	871.49000	USD	Yes	1123.43000	CAD	Gavadza, Olena	2017-11-01 11:50:27.407	Investran	2017-11-01 15:37:28.400	75331	0.0
75331	20171101060675.0	IN1000037	Transelec SA (PDHI - B2B Loan)	MIN1000037	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	1123.43	871.49	1123.43	20171031.0	OTH INV EXP EM INFRASTRUCTURE	0.0	0.0	0.0	75331	IN1000037	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	MIN1000037	Transelec SA (PDHI - B2B Loan)	871.49000	USD	Yes	1123.43000	CAD	Gavadza, Olena	2017-11-01 11:50:27.407	Investran	2017-11-01 15:37:28.400	75331	0.0
75332	20171101060676.0	IN1000003	Corporate Expenses - Infrastructure	M219999992	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	681.72	681.72	681.72	20171031.0	OTH INV EXP FGN INFRASTRUCTURE	0.0	0.0	0.0	75332	IN1000003	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M219999992	Corporate Expenses - Infrastructure	681.72000	CAD	Yes	681.72000	CAD	Gavadza, Olena	2017-11-01 11:50:27.737	Investran	2017-11-01 15:38:01.500	75332	0.0
75332	20171101060676.0	IN1000003	Corporate Expenses - Infrastructure	M219999992	20171101.0	20171031.0	20171031.0	Server job user	GenCost	General Cost	General Cost	CAD	681.72	681.72	681.72	20171031.0	DUE TO SUB-INV EXP-CHQ INFRASTRUCTURE	0.0	0.0	0.0	75332	IN1000003	6	Manual	1	Capital Call	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M219999992	Corporate Expenses - Infrastructure	681.72000	CAD	Yes	681.72000	CAD	Gavadza, Olena	2017-11-01 11:50:27.737	Investran	2017-11-01 15:38:01.500	75332	0.0
75334	20171101060696.0	FS1000201	TPG Partners VI L.P. (PIP)	M77099B980	20171102.0	20171031.0	20171031.0	Batch job user	GenCost	General Cost	General Cost	USD	-66797.3	-51817.0	-51817.0	20171031.0	COST OF INVESTMENT FGN PRIV EQUITY	0.0	0.0	0.0	75334	77099B980	4	Closed	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M77099B980	TPG Partners VI, L.P. (PIP)	51817.00000	USD	Yes	51817.00000	USD	 	2017-11-01 12:01:37.447	Investran	2017-11-02 13:01:53.573	75334	-103634.0
75334	20171101060696.0	FS1000201	TPG Partners VI L.P. (PIP)	M77099B980	20171102.0	20171031.0	20171031.0	Batch job user	GenCost	General Cost	General Cost	USD	-66797.3	-51817.0	-51817.0	20171031.0	DIVIDEND INC FGN PRIV EQUITY	0.0	0.0	0.0	75334	77099B980	4	Closed	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M77099B980	TPG Partners VI, L.P. (PIP)	51817.00000	USD	Yes	51817.00000	USD	 	2017-11-01 12:01:37.447	Investran	2017-11-02 13:01:53.573	75334	-103634.0
75334	20171101060696.0	FS1000201	TPG Partners VI L.P. (PIP)	M77099B980	20171102.0	20171031.0	20171031.0	Batch job user	GenCost	General Cost	General Cost	USD	-66797.3	-51817.0	-51817.0	20171031.0	REALIZED SECURITY GL FGN PRIV EQUITY	0.0	0.0	0.0	75334	77099B980	4	Closed	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M77099B980	TPG Partners VI, L.P. (PIP)	51817.00000	USD	Yes	51817.00000	USD	 	2017-11-01 12:01:37.447	Investran	2017-11-02 13:01:53.573	75334	-103634.0
75334	20171101060696.0	FS1000201	TPG Partners VI L.P. (PIP)	M77099B980	20171102.0	20171031.0	20171031.0	Batch job user	GenCost	General Cost	General Cost	USD	-66797.3	-51817.0	-51817.0	20171031.0	REALIZED CURR GL FGN PRIV EQUITY	0.0	0.0	0.0	75334	77099B980	4	Closed	2	Cash Distribution	2017-10-31 00:00:00.000	2017-10-31 00:00:00.000	M77099B980	TPG Partners VI, L.P. (PIP)	51817.00000	USD	Yes	51817.00000	USD	 	2017-11-01 12:01:37.447	Investran	2017-11-02 13:01:53.573	75334	-103634.0
